●●○●○,0,0,0,1月,名詞
●○●○●○,0,0,0,2月,名詞
●●●○●○,0,0,0,3月,名詞
●○○●○●○,0,0,0,4月,名詞
●○●●○●○,0,0,0,5月,名詞
●●○●○●○,0,0,0,6月,名詞
○○,0,0,0,満月,名詞
●●,0,0,0,新月,名詞
●●○●,0,0,0,時,名詞
●●●○○,0,0,0,希望,名詞
○○○,0,0,0,白,名詞
○●○,0,0,0,黄色,名詞
○○●,0,0,0,薄緑色,名詞
●●●,0,0,0,黒,名詞
●○●,0,0,0,紫色,名詞
●●○,0,0,0,青,名詞
○○○○○,0,0,0,無,名詞
○●●●,0,0,0,上,名詞
●○○○,0,0,0,下,名詞
●●●●,0,0,0,ここ,名詞
○●○○,0,0,0,人,名詞
○○○○○,0,0,0,正しい,形容詞
○○○●○,0,0,0,白い,形容詞
○●○●○,0,0,0,黄色い,形容詞
○○●●○,0,0,0,薄緑色の,形容詞
●●●●○,0,0,0,黒い,形容詞
●○●●○,0,0,0,紫色の,形容詞
●●○●○,0,0,0,青い,形容詞
●○○●,0,0,0,見た,動詞
●○●○,0,0,0,変わる,動詞
●○●○○,0,0,0,変える,動詞
○○●●,0,0,0,昇る,動詞
●●○○,0,0,0,降りる,動詞
●●○●,0,0,0,留まる,動詞
○●●,0,0,0,ならば,その他
○●,0,0,0,は,その他
●●●,0,0,0,そして,その他
○●○,0,0,0,か,その他
●,0,0,0,に,その他
